,2Types,Attchd,Basment,BuiltIn,CarPort,Detchd,MSSubClass,YearBuilt,GrLivArea,GarageCars,BsmtFullBath
0,0,1,0,0,0,0,0.07334983082099304,1.0506337978673663,0.37020659097218955,0.31161787088170867,1.107430697123059
1,0,1,0,0,0,0,-0.8722638821913684,0.15668002567432224,-0.4823466424740096,0.31161787088170867,-0.8196835076441235
2,0,1,0,0,0,0,0.07334983082099304,0.9844149999271408,0.514836157360384,0.31161787088170867,1.107430697123059
3,0,0,0,0,0,1,0.3097532590740834,-1.862993311502555,0.3835277352447864,1.6497416693737514,1.107430697123059
4,0,1,0,0,0,0,0.07334983082099304,0.9513056009570281,1.2988806488332278,1.6497416693737514,1.107430697123059
5,0,1,0,0,0,0,-0.16305359743209732,0.7195398081662389,-0.2920445814369116,0.31161787088170867,1.107430697123059
6,0,1,0,0,0,0,-0.8722638821913684,1.083743196837479,0.33975826120625385,0.31161787088170867,1.107430697123059
7,0,1,0,0,0,0,0.07334983082099304,0.057351828763984015,1.093354422913162,0.31161787088170867,1.107430697123059
8,0,0,0,0,0,1,-0.16305359743209732,-1.3332429279807512,0.49199991003593224,0.31161787088170867,-0.8196835076441235
9,0,1,0,0,0,0,3.1465943981111675,-1.0683677362198492,-0.834405455392641,-1.026505927610334,1.107430697123059
10,0,0,0,0,0,1,-0.8722638821913684,-0.20752336299691793,-0.9048172179763673,-1.026505927610334,1.107430697123059
11,0,0,0,1,0,0,0.07334983082099304,1.1168525958075917,1.5386612457399713,1.6497416693737514,1.107430697123059
12,0,0,0,0,0,1,-0.8722638821913684,-0.30685155990725616,-1.1484038561038528,-1.026505927610334,1.107430697123059
13,0,1,0,0,0,0,-0.8722638821913684,1.1499619947777044,-0.0408458608679422,1.6497416693737514,-0.8196835076441235
14,0,1,0,0,0,0,-0.8722638821913684,-0.37307035784748166,-0.49947382796734846,-1.026505927610334,1.107430697123059
15,0,0,0,0,0,1,-0.28125531155864253,-1.3994617259209767,-1.2587790515053696,0.31161787088170867,-0.8196835076441235
16,0,1,0,0,0,0,-0.8722638821913684,-0.041976368146354213,-0.9733259599497225,0.31161787088170867,1.107430697123059
17,0,0,0,0,1,0,0.7825601155802642,-0.14130456505669245,-0.4176439417213963,0.31161787088170867,-0.8196835076441235
18,0,0,0,0,0,1,-0.8722638821913684,1.083743196837479,-0.7639936928089147,0.31161787088170867,1.107430697123059
19,0,1,0,0,0,0,-0.8722638821913684,-0.4392891557877071,-0.33581405547544413,-1.026505927610334,-0.8196835076441235
20,0,0,0,1,0,0,0.07334983082099304,1.1168525958075917,1.6376183174792625,1.6497416693737514,-0.8196835076441235
21,0,1,0,0,0,0,-0.28125531155864253,-1.366352326950864,-0.7754118164711405,-1.026505927610334,-0.8196835076441235
22,0,1,0,0,0,0,-0.8722638821913684,1.0175243988972535,0.5319633428537228,0.31161787088170867,-0.8196835076441235
